record_id,problem_a,problem_b,category_a,category_b,description_a,description_b,location,distance_km,time_difference_hours,severity_a,severity_b,nearby_frequency,text_similarity,relationship,dependency_strength,dependency_label
NEG_0679,Street Light Failure,Waterlogging,Lighting,Flooding,roadside light has failed,road is flooded,Kodambakkam,5.97,30.3,CRITICAL,LOW,15,0.076,NO_DEPENDENCY,0.233,0
NEG_0519,Public Health Risk,Poor Road Visibility,Health,Safety,health risk reported,dark road section,Tambaram,6.22,70.7,HIGH,CRITICAL,8,0.439,NO_DEPENDENCY,0.269,0
POS_0860,Pothole / Road Damage,Poor Road Visibility,Road,Safety,multiple potholes reported,drivers cannot see clearly,Nungambakkam,2.21,36.5,HIGH,HIGH,11,0.77,CONTRIBUTES_TO,0.633,1
POS_0408,Illegal Dumping,Waterlogging,Waste,Flooding,garbage dumped beside road,heavy waterlogging reported,Perambur,2.03,37.3,MEDIUM,LOW,4,0.708,CONTRIBUTES_TO,0.601,1
NEG_0421,Air Pollution,Emergency Response Delay,Environment,Emergency,air quality is affected,emergency vehicles cannot move quickly,Porur,4.56,66.4,CRITICAL,HIGH,9,0.386,NO_DEPENDENCY,0.287,0
NEG_0114,Street Light Failure,Emergency Response Delay,Lighting,Emergency,roadside light has failed,emergency access is difficult,Perambur,4.18,93.5,HIGH,LOW,8,0.061,NO_DEPENDENCY,0.168,0
POS_0679,Pothole / Road Damage,Traffic Congestion,Road,Traffic,damaged road section,traffic is moving slowly,T Nagar,0.66,12.8,MEDIUM,LOW,18,0.876,CONTRIBUTES_TO,0.798,1
POS_1265,Pothole / Road Damage,Poor Road Visibility,Road,Safety,road surface is badly damaged,drivers cannot see clearly,Adyar,2.14,35.4,LOW,CRITICAL,14,0.527,CONTRIBUTES_TO,0.545,1
NEG_0908,Waterlogging,Sewer Overflow,Flooding,Drainage,standing rainwater on the street,dirty wastewater is spreading,Anna Nagar,7.07,65.5,LOW,LOW,12,0.081,NO_DEPENDENCY,0.174,0
POS_0692,Pothole / Road Damage,Traffic Congestion,Road,Traffic,damaged road section,vehicles are queued,Tambaram,0.82,28.7,MEDIUM,LOW,10,0.624,CONTRIBUTES_TO,0.701,1
POS_0008,Pothole / Road Damage,Poor Road Visibility,Road,Safety,multiple potholes reported,low visibility reported,Ambattur,2.9,27.0,MEDIUM,LOW,2,0.813,CONTRIBUTES_TO,0.59,1
NEG_1368,Water Leakage,Safety Risk,Water,Safety,water pipe is leaking,residents feel unsafe,Adyar,3.4,58.7,CRITICAL,CRITICAL,7,0.36,NO_DEPENDENCY,0.293,0
POS_1205,Stagnant Water,Public Health Risk,Public Health,Health,standing water is not clearing,disease risk is increasing,Guindy,1.61,21.0,HIGH,CRITICAL,1,0.978,CAUSES,0.79,1
NEG_0734,Emergency Response Delay,Poor Road Visibility,Emergency,Safety,emergency access is difficult,drivers cannot see clearly,Mylapore,4.93,76.0,HIGH,LOW,12,0.244,NO_DEPENDENCY,0.246,0
POS_0416,Illegal Dumping,Waterlogging,Waste,Flooding,unauthorized dumping reported,water has accumulated on the road,Ambattur,3.58,42.6,CRITICAL,MEDIUM,5,0.453,CONTRIBUTES_TO,0.556,1
POS_0671,Road Blockage,Traffic Congestion,Road,Traffic,road is partially blocked,vehicles are queued,T Nagar,2.79,17.8,LOW,MEDIUM,16,0.681,CAUSES,0.701,1
POS_0811,Stagnant Water,Public Health Risk,Public Health,Health,standing water is not clearing,disease risk is increasing,Royapettah,3.94,15.0,HIGH,HIGH,16,0.841,CAUSES,0.75,1
POS_1090,Stagnant Water,Public Health Risk,Public Health,Health,standing water is not clearing,health risk reported,Ambattur,3.25,37.0,CRITICAL,MEDIUM,13,0.588,CAUSES,0.703,1
POS_0200,Road Blockage,Traffic Congestion,Road,Traffic,vehicle movement is obstructed,severe congestion reported,Kodambakkam,3.3,31.3,HIGH,HIGH,1,0.831,CAUSES,0.712,1
POS_0284,Pothole / Road Damage,Poor Road Visibility,Road,Safety,damaged road section,visibility on road is poor,Guindy,0.32,38.0,CRITICAL,CRITICAL,17,0.719,CONTRIBUTES_TO,0.708,1
POS_0232,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic is moving slowly,response time is increasing,T Nagar,0.99,41.7,HIGH,LOW,16,0.92,CAUSES,0.786,1
NEG_1231,Street Light Failure,Sewer Overflow,Lighting,Drainage,street light is not working,dirty wastewater is spreading,Anna Nagar,7.76,59.8,HIGH,LOW,12,0.058,NO_DEPENDENCY,0.161,0
NEG_1362,Poor Road Visibility,Illegal Dumping,Safety,Waste,visibility on road is poor,unauthorized dumping reported,Guindy,5.68,75.1,CRITICAL,CRITICAL,4,0.1,NO_DEPENDENCY,0.152,0
POS_0097,Pothole / Road Damage,Traffic Congestion,Road,Traffic,damaged road section,vehicles are queued,Porur,3.02,43.2,MEDIUM,LOW,10,0.697,CONTRIBUTES_TO,0.641,1
NEG_0088,Traffic Congestion,Waterlogging,Traffic,Flooding,severe congestion reported,standing rainwater on the street,Kodambakkam,6.02,42.1,MEDIUM,LOW,1,0.384,NO_DEPENDENCY,0.245,0
NEG_1070,Air Pollution,Poor Road Visibility,Environment,Safety,air quality is affected,drivers cannot see clearly,Sholinganallur,4.8,64.5,LOW,MEDIUM,2,0.212,NO_DEPENDENCY,0.198,0
NEG_0107,Blocked Drain,Safety Risk,Drainage,Safety,drain is clogged,risk to pedestrians and vehicles,Royapettah,4.06,43.6,LOW,CRITICAL,5,0.141,NO_DEPENDENCY,0.22,0
POS_0677,Pothole / Road Damage,Traffic Congestion,Road,Traffic,road surface is badly damaged,traffic is moving slowly,Guindy,3.72,31.2,MEDIUM,CRITICAL,20,0.586,CONTRIBUTES_TO,0.643,1
NEG_0361,Water Leakage,Air Pollution,Water,Environment,pipeline leak near street,polluted air reported,Porur,1.15,55.5,MEDIUM,HIGH,7,0.279,NO_DEPENDENCY,0.305,0
NEG_1282,Safety Risk,Stagnant Water,Safety,Public Health,risk to pedestrians and vehicles,standing water is not clearing,Sholinganallur,2.57,34.9,HIGH,CRITICAL,1,0.137,NO_DEPENDENCY,0.228,0
NEG_1364,Illegal Dumping,Stagnant Water,Waste,Public Health,garbage dumped beside road,water is collecting,Tambaram,5.14,78.4,CRITICAL,MEDIUM,11,0.344,NO_DEPENDENCY,0.266,0
NEG_1088,Emergency Response Delay,Sewer Overflow,Emergency,Drainage,emergency vehicles cannot move quickly,sewer water is overflowing,Nungambakkam,4.34,94.3,HIGH,LOW,4,0.196,NO_DEPENDENCY,0.185,0
POS_1400,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic flow is disrupted,emergency vehicles cannot move quickly,Guindy,2.64,0.8,HIGH,MEDIUM,19,0.822,CAUSES,0.79,1
POS_1371,Street Light Failure,Poor Road Visibility,Lighting,Safety,street light is not working,visibility on road is poor,Velachery,1.12,0.8,HIGH,MEDIUM,9,0.922,CAUSES,0.839,1
POS_0105,Water Leakage,Stagnant Water,Water,Public Health,water pipe is leaking,standing water is not clearing,Pallavaram,0.6,18.0,CRITICAL,HIGH,9,0.847,CAUSES,0.826,1
NEG_0588,Garbage Accumulation,Road Blockage,Waste,Road,uncollected garbage is present,road passage is blocked,Ambattur,5.7,7.9,HIGH,LOW,10,0.317,NO_DEPENDENCY,0.303,0
POS_0600,Garbage Accumulation,Public Health Risk,Waste,Health,large pile of waste reported,disease risk is increasing,Perambur,1.91,27.0,LOW,HIGH,17,0.552,CAUSES,0.671,1
NEG_0257,Water Leakage,Sewer Overflow,Water,Drainage,water pipe is leaking,sewage overflow reported,Ambattur,0.9,72.3,MEDIUM,LOW,12,0.23,NO_DEPENDENCY,0.305,0
POS_1324,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic is moving slowly,emergency movement is delayed,T Nagar,4.26,15.1,MEDIUM,HIGH,19,0.761,CAUSES,0.692,1
POS_0643,Garbage Accumulation,Public Health Risk,Waste,Health,large pile of waste reported,possible health hazard,Perambur,3.52,20.1,LOW,MEDIUM,6,0.938,CAUSES,0.69,1
POS_0701,Illegal Dumping,Blocked Drain,Waste,Drainage,unauthorized dumping reported,rainwater drain is not flowing,Sholinganallur,3.04,6.8,MEDIUM,HIGH,2,0.923,CONTRIBUTES_TO,0.708,1
POS_0227,Garbage Accumulation,Public Health Risk,Waste,Health,garbage has accumulated,disease risk is increasing,Anna Nagar,0.32,30.8,CRITICAL,LOW,16,0.945,CAUSES,0.856,1
NEG_0198,Emergency Response Delay,Road Blockage,Emergency,Road,response time is increasing,traffic lane is obstructed,Anna Nagar,6.11,44.4,MEDIUM,CRITICAL,11,0.398,NO_DEPENDENCY,0.296,0
POS_1011,Stagnant Water,Public Health Risk,Public Health,Health,water is collecting,sanitation may affect public health,Guindy,1.5,18.7,LOW,LOW,10,0.755,CAUSES,0.724,1
NEG_0073,Public Health Risk,Safety Risk,Health,Safety,sanitation may affect public health,residents feel unsafe,Velachery,3.47,69.4,MEDIUM,LOW,13,0.178,NO_DEPENDENCY,0.259,0
POS_0777,Pothole / Road Damage,Traffic Congestion,Road,Traffic,multiple potholes reported,traffic flow is disrupted,Anna Nagar,4.2,41.1,MEDIUM,LOW,9,0.917,CONTRIBUTES_TO,0.656,1
NEG_0231,Waterlogging,Stagnant Water,Flooding,Public Health,heavy waterlogging reported,standing water is not clearing,Velachery,7.57,25.9,CRITICAL,HIGH,9,0.301,NO_DEPENDENCY,0.25,0
NEG_1327,Garbage Accumulation,Safety Risk,Waste,Safety,large pile of waste reported,residents feel unsafe,Ambattur,1.16,18.4,MEDIUM,HIGH,8,0.348,NO_DEPENDENCY,0.362,0
NEG_0729,Garbage Accumulation,Pothole / Road Damage,Waste,Road,waste has built up,road surface is badly damaged,Ambattur,6.08,37.5,LOW,HIGH,9,0.317,NO_DEPENDENCY,0.268,0
NEG_1295,Waterlogging,Public Health Risk,Flooding,Health,standing rainwater on the street,sanitation may affect public health,Mylapore,3.34,87.1,MEDIUM,CRITICAL,13,0.093,NO_DEPENDENCY,0.22,0
POS_0465,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic is moving slowly,emergency access is difficult,Mylapore,0.78,35.5,MEDIUM,HIGH,13,0.657,CAUSES,0.715,1
NEG_1152,Illegal Dumping,Road Blockage,Waste,Road,open dumping observed,traffic lane is obstructed,Porur,3.02,92.5,HIGH,MEDIUM,0,0.409,NO_DEPENDENCY,0.25,0
POS_1094,Blocked Drain,Waterlogging,Drainage,Flooding,rainwater drain is not flowing,heavy waterlogging reported,Ambattur,2.63,4.3,HIGH,LOW,18,0.925,CAUSES,0.863,1
POS_1272,Sewer Overflow,Stagnant Water,Drainage,Public Health,dirty wastewater is spreading,pool of water has remained,Perambur,0.2,38.3,LOW,CRITICAL,11,0.536,CAUSES,0.7,1
NEG_1424,Sewer Overflow,Street Light Failure,Drainage,Lighting,sewage overflow reported,dark street due to light failure,Nungambakkam,1.37,95.7,MEDIUM,CRITICAL,6,0.37,NO_DEPENDENCY,0.291,0
NEG_0081,Road Blockage,Safety Risk,Road,Safety,traffic lane is obstructed,risk to pedestrians and vehicles,Anna Nagar,6.05,73.6,CRITICAL,LOW,10,0.234,NO_DEPENDENCY,0.218,0
POS_1208,Poor Road Visibility,Safety Risk,Safety,Safety,low visibility reported,risk to pedestrians and vehicles,Thiruvanmiyur,1.67,5.5,CRITICAL,MEDIUM,11,0.919,CONTRIBUTES_TO,0.808,1
POS_0213,Waterlogging,Road Blockage,Flooding,Road,road is flooded,traffic lane is obstructed,Mylapore,0.5,2.1,MEDIUM,LOW,2,0.767,CAUSES,0.795,1
POS_0013,Illegal Dumping,Blocked Drain,Waste,Drainage,garbage dumped beside road,drain is clogged,Guindy,0.75,0.7,MEDIUM,LOW,9,0.833,CONTRIBUTES_TO,0.773,1
NEG_1473,Stagnant Water,Blocked Drain,Public Health,Drainage,water is collecting,stormwater drain is blocked,T Nagar,7.88,24.3,HIGH,HIGH,12,0.267,NO_DEPENDENCY,0.252,0
POS_0423,Pothole / Road Damage,Poor Road Visibility,Road,Safety,damaged road section,drivers cannot see clearly,Anna Nagar,2.79,2.4,LOW,LOW,17,0.865,CONTRIBUTES_TO,0.649,1
NEG_0189,Poor Road Visibility,Garbage Accumulation,Safety,Waste,visibility on road is poor,waste has built up,Pallavaram,0.98,92.7,LOW,LOW,0,0.29,NO_DEPENDENCY,0.245,0
NEG_0280,Waterlogging,Air Pollution,Flooding,Environment,road is flooded,local air pollution observed,T Nagar,2.69,33.7,HIGH,HIGH,5,0.391,NO_DEPENDENCY,0.324,0
NEG_1140,Street Light Failure,Blocked Drain,Lighting,Drainage,streetlights are off,rainwater drain is not flowing,Royapettah,6.88,81.4,CRITICAL,HIGH,1,0.09,NO_DEPENDENCY,0.111,0
NEG_0820,Water Leakage,Public Health Risk,Water,Health,damaged water supply line,sanitation may affect public health,Mylapore,5.82,8.1,HIGH,CRITICAL,8,0.324,NO_DEPENDENCY,0.293,0
POS_0638,Blocked Drain,Waterlogging,Drainage,Flooding,rainwater drain is not flowing,standing rainwater on the street,Pallavaram,0.58,13.7,HIGH,CRITICAL,3,0.977,CAUSES,0.874,1
POS_1279,Road Blockage,Traffic Congestion,Road,Traffic,traffic lane is obstructed,severe congestion reported,Ambattur,0.5,8.4,MEDIUM,MEDIUM,20,0.786,CAUSES,0.827,1
NEG_0141,Sewer Overflow,Road Blockage,Drainage,Road,sewage overflow reported,road is partially blocked,Royapettah,2.03,50.3,CRITICAL,MEDIUM,11,0.26,NO_DEPENDENCY,0.311,0
POS_0510,Pothole / Road Damage,Traffic Congestion,Road,Traffic,road surface is badly damaged,vehicles are queued,Guindy,4.1,16.1,MEDIUM,MEDIUM,7,0.737,CONTRIBUTES_TO,0.652,1
POS_0598,Road Blockage,Traffic Congestion,Road,Traffic,vehicle movement is obstructed,severe congestion reported,Guindy,4.17,34.1,CRITICAL,CRITICAL,10,0.765,CAUSES,0.72,1
NEG_1213,Safety Risk,Water Leakage,Safety,Water,safety risk reported,damaged water supply line,Perambur,4.62,62.5,CRITICAL,CRITICAL,8,0.155,NO_DEPENDENCY,0.215,0
NEG_1135,Emergency Response Delay,Air Pollution,Emergency,Environment,emergency vehicles cannot move quickly,local air pollution observed,Perambur,7.3,67.7,CRITICAL,HIGH,2,0.022,NO_DEPENDENCY,0.101,0
NEG_0865,Emergency Response Delay,Public Health Risk,Emergency,Health,response time is increasing,disease risk is increasing,Sholinganallur,1.63,28.3,MEDIUM,CRITICAL,7,0.426,NO_DEPENDENCY,0.365,0
NEG_1144,Poor Road Visibility,Garbage Accumulation,Safety,Waste,drivers cannot see clearly,waste has built up,Pallavaram,5.84,70.5,LOW,MEDIUM,13,0.098,NO_DEPENDENCY,0.198,0
POS_0519,Pothole / Road Damage,Traffic Congestion,Road,Traffic,damaged road section,vehicles are queued,T Nagar,2.01,42.5,CRITICAL,MEDIUM,10,0.86,CONTRIBUTES_TO,0.75,1
NEG_1294,Air Pollution,Water Leakage,Environment,Water,polluted air reported,pipeline leak near street,Porur,2.42,56.7,HIGH,HIGH,9,0.283,NO_DEPENDENCY,0.296,0
POS_0574,Sewer Overflow,Stagnant Water,Drainage,Public Health,sewer line has overflowed,water is collecting,Mylapore,1.23,39.4,CRITICAL,CRITICAL,15,0.478,CAUSES,0.746,1
NEG_1226,Public Health Risk,Road Blockage,Health,Road,disease risk is increasing,road passage is blocked,Nungambakkam,2.66,12.9,HIGH,HIGH,0,0.396,NO_DEPENDENCY,0.318,0
POS_1098,Water Leakage,Stagnant Water,Water,Public Health,water pipe is leaking,water is collecting,Porur,2.02,24.8,HIGH,CRITICAL,11,0.576,CAUSES,0.707,1
NEG_0448,Street Light Failure,Water Leakage,Lighting,Water,dark street due to light failure,damaged water supply line,Ambattur,7.47,94.8,MEDIUM,HIGH,12,0.117,NO_DEPENDENCY,0.154,0
POS_1449,Sewer Overflow,Stagnant Water,Drainage,Public Health,sewer line has overflowed,pool of water has remained,Perambur,2.98,37.0,HIGH,MEDIUM,5,0.922,CAUSES,0.744,1
NEG_0085,Public Health Risk,Traffic Congestion,Health,Traffic,possible health hazard,severe congestion reported,Perambur,3.3,46.9,CRITICAL,MEDIUM,4,0.38,NO_DEPENDENCY,0.295,0
NEG_1097,Traffic Congestion,Blocked Drain,Traffic,Drainage,severe congestion reported,blocked drainage outlet,Ambattur,5.38,12.3,CRITICAL,CRITICAL,8,0.428,NO_DEPENDENCY,0.327,0
POS_0965,Poor Road Visibility,Safety Risk,Safety,Safety,drivers cannot see clearly,residents feel unsafe,Porur,3.25,47.7,HIGH,CRITICAL,20,0.716,CONTRIBUTES_TO,0.667,1
POS_1019,Pothole / Road Damage,Traffic Congestion,Road,Traffic,multiple potholes reported,severe congestion reported,Perambur,1.48,35.2,HIGH,LOW,9,0.57,CONTRIBUTES_TO,0.688,1
NEG_1409,Street Light Failure,Safety Risk,Lighting,Safety,street light is not working,safety risk reported,Kodambakkam,0.73,40.9,HIGH,CRITICAL,3,0.184,NO_DEPENDENCY,0.275,0
POS_0359,Street Light Failure,Poor Road Visibility,Lighting,Safety,street light is not working,visibility on road is poor,Adyar,0.15,24.5,CRITICAL,HIGH,2,0.515,CAUSES,0.756,1
POS_0737,Water Leakage,Stagnant Water,Water,Public Health,continuous water leakage,water is collecting,Mylapore,0.81,13.1,HIGH,MEDIUM,14,0.829,CAUSES,0.811,1
NEG_0285,Emergency Response Delay,Blocked Drain,Emergency,Drainage,emergency access is difficult,rainwater drain is not flowing,T Nagar,3.02,8.6,LOW,LOW,15,0.046,NO_DEPENDENCY,0.286,0
NEG_0109,Street Light Failure,Safety Risk,Lighting,Safety,dark street due to light failure,safety risk reported,Velachery,4.29,52.2,MEDIUM,MEDIUM,6,0.049,NO_DEPENDENCY,0.187,0
POS_0260,Illegal Dumping,Waterlogging,Waste,Flooding,garbage dumped beside road,heavy waterlogging reported,Tambaram,2.88,33.4,MEDIUM,CRITICAL,6,0.792,CONTRIBUTES_TO,0.607,1
NEG_1272,Stagnant Water,Waterlogging,Public Health,Flooding,stagnant water remains,standing rainwater on the street,Velachery,1.42,70.7,LOW,LOW,10,0.161,NO_DEPENDENCY,0.268,0
NEG_1143,Stagnant Water,Emergency Response Delay,Public Health,Emergency,pool of water has remained,emergency access is difficult,Anna Nagar,7.56,65.9,HIGH,CRITICAL,0,0.346,NO_DEPENDENCY,0.185,0
NEG_1243,Illegal Dumping,Air Pollution,Waste,Environment,garbage dumped beside road,dust and pollution are increasing,Guindy,4.06,69.9,HIGH,CRITICAL,6,0.42,NO_DEPENDENCY,0.287,0
NEG_0884,Waterlogging,Traffic Congestion,Flooding,Traffic,standing rainwater on the street,traffic flow is disrupted,Adyar,0.53,62.1,HIGH,CRITICAL,12,0.064,NO_DEPENDENCY,0.27,0
POS_1030,Street Light Failure,Poor Road Visibility,Lighting,Safety,roadside light has failed,drivers cannot see clearly,Sholinganallur,2.7,35.4,CRITICAL,HIGH,17,0.5,CAUSES,0.712,1
NEG_0909,Stagnant Water,Waterlogging,Public Health,Flooding,stagnant water remains,road is flooded,Perambur,4.8,54.6,MEDIUM,CRITICAL,6,0.165,NO_DEPENDENCY,0.212,0
POS_0970,Garbage Accumulation,Air Pollution,Waste,Environment,uncollected garbage is present,local air pollution observed,Velachery,1.33,19.9,CRITICAL,HIGH,5,0.778,CONTRIBUTES_TO,0.737,1
NEG_1491,Stagnant Water,Garbage Accumulation,Public Health,Waste,pool of water has remained,large pile of waste reported,Ambattur,3.57,54.4,LOW,CRITICAL,11,0.314,NO_DEPENDENCY,0.3,0
POS_0820,Stagnant Water,Public Health Risk,Public Health,Health,water is collecting,possible health hazard,Royapettah,0.22,4.8,HIGH,HIGH,15,0.793,CAUSES,0.845,1
NEG_1217,Poor Road Visibility,Garbage Accumulation,Safety,Waste,low visibility reported,uncollected garbage is present,Ambattur,3.56,68.7,MEDIUM,MEDIUM,5,0.364,NO_DEPENDENCY,0.274,0
NEG_0826,Traffic Congestion,Public Health Risk,Traffic,Health,traffic is moving slowly,sanitation may affect public health,Tambaram,1.26,15.2,MEDIUM,LOW,5,0.223,NO_DEPENDENCY,0.31,0
POS_0457,Illegal Dumping,Blocked Drain,Waste,Drainage,unauthorized dumping reported,drain is clogged,Kodambakkam,0.79,41.1,HIGH,LOW,8,0.516,CONTRIBUTES_TO,0.675,1
POS_0463,Water Leakage,Stagnant Water,Water,Public Health,damaged water supply line,pool of water has remained,Anna Nagar,3.68,40.8,LOW,CRITICAL,16,0.632,CAUSES,0.617,1
NEG_0845,Pothole / Road Damage,Safety Risk,Road,Safety,large pothole on the road,residents feel unsafe,Anna Nagar,1.93,9.8,CRITICAL,MEDIUM,4,0.295,NO_DEPENDENCY,0.321,0
NEG_1189,Air Pollution,Sewer Overflow,Environment,Drainage,air quality is affected,sewer line has overflowed,Guindy,0.9,91.0,LOW,HIGH,15,0.159,NO_DEPENDENCY,0.283,0
POS_0382,Pothole / Road Damage,Traffic Congestion,Road,Traffic,road surface is badly damaged,severe congestion reported,Perambur,2.07,6.8,HIGH,HIGH,17,0.669,CONTRIBUTES_TO,0.752,1
NEG_0392,Blocked Drain,Poor Road Visibility,Drainage,Safety,drain is clogged,low visibility reported,Pallavaram,3.12,66.2,LOW,HIGH,11,0.349,NO_DEPENDENCY,0.308,0
NEG_0333,Sewer Overflow,Pothole / Road Damage,Drainage,Road,sewage overflow reported,multiple potholes reported,Guindy,5.73,50.7,MEDIUM,CRITICAL,0,0.188,NO_DEPENDENCY,0.178,0
NEG_0809,Street Light Failure,Blocked Drain,Lighting,Drainage,streetlights are off,drain is clogged,T Nagar,7.81,56.4,LOW,LOW,2,0.325,NO_DEPENDENCY,0.193,0
NEG_0007,Emergency Response Delay,Blocked Drain,Emergency,Drainage,emergency access is difficult,stormwater drain is blocked,Anna Nagar,7.1,24.6,MEDIUM,MEDIUM,8,0.28,NO_DEPENDENCY,0.247,0
POS_0806,Waterlogging,Road Blockage,Flooding,Road,standing rainwater on the street,road is partially blocked,Perambur,0.37,2.3,HIGH,HIGH,7,0.556,CAUSES,0.793,1
NEG_0939,Public Health Risk,Safety Risk,Health,Safety,health risk reported,safety risk reported,Anna Nagar,5.96,87.3,HIGH,HIGH,10,0.383,NO_DEPENDENCY,0.253,0
POS_0757,Sewer Overflow,Stagnant Water,Drainage,Public Health,sewage overflow reported,stagnant water remains,Perambur,0.44,8.4,LOW,LOW,10,0.463,CAUSES,0.718,1
NEG_1016,Blocked Drain,Street Light Failure,Drainage,Lighting,rainwater drain is not flowing,dark street due to light failure,Nungambakkam,1.88,51.2,LOW,HIGH,14,0.362,NO_DEPENDENCY,0.358,0
POS_1254,Road Blockage,Traffic Congestion,Road,Traffic,road passage is blocked,vehicles are queued,Sholinganallur,0.5,25.8,MEDIUM,HIGH,2,0.951,CAUSES,0.791,1
POS_0870,Pothole / Road Damage,Traffic Congestion,Road,Traffic,multiple potholes reported,severe congestion reported,Sholinganallur,0.56,4.7,MEDIUM,LOW,19,0.497,CONTRIBUTES_TO,0.738,1
NEG_0565,Poor Road Visibility,Road Blockage,Safety,Road,dark road section,traffic lane is obstructed,Mylapore,0.65,29.7,LOW,HIGH,11,0.285,NO_DEPENDENCY,0.356,0
POS_1411,Street Light Failure,Poor Road Visibility,Lighting,Safety,dark street due to light failure,low visibility reported,Thiruvanmiyur,3.13,10.7,LOW,LOW,13,0.661,CAUSES,0.683,1
NEG_0861,Public Health Risk,Air Pollution,Health,Environment,possible health hazard,dust and pollution are increasing,Ambattur,6.68,74.7,MEDIUM,LOW,4,0.126,NO_DEPENDENCY,0.145,0
NEG_0788,Stagnant Water,Poor Road Visibility,Public Health,Safety,water is collecting,dark road section,Porur,6.91,65.9,HIGH,MEDIUM,6,0.163,NO_DEPENDENCY,0.17,0
NEG_1359,Waterlogging,Safety Risk,Flooding,Safety,heavy waterlogging reported,residents feel unsafe,Thiruvanmiyur,7.42,80.4,HIGH,MEDIUM,12,0.284,NO_DEPENDENCY,0.217,0
POS_1174,Illegal Dumping,Blocked Drain,Waste,Drainage,unauthorized dumping reported,rainwater drain is not flowing,Tambaram,2.17,16.5,HIGH,HIGH,6,0.929,CONTRIBUTES_TO,0.753,1
POS_0543,Illegal Dumping,Waterlogging,Waste,Flooding,garbage dumped beside road,road is flooded,T Nagar,1.77,41.6,LOW,LOW,10,0.511,CONTRIBUTES_TO,0.552,1
NEG_0605,Emergency Response Delay,Poor Road Visibility,Emergency,Safety,emergency movement is delayed,dark road section,Porur,1.94,12.5,CRITICAL,LOW,6,0.443,NO_DEPENDENCY,0.373,0
POS_1256,Road Blockage,Traffic Congestion,Road,Traffic,vehicle movement is obstructed,traffic flow is disrupted,T Nagar,3.96,45.4,LOW,CRITICAL,13,0.515,CAUSES,0.592,1
NEG_0267,Safety Risk,Waterlogging,Safety,Flooding,area has become unsafe,standing rainwater on the street,Sholinganallur,6.52,57.8,CRITICAL,HIGH,0,0.313,NO_DEPENDENCY,0.198,0
NEG_0266,Poor Road Visibility,Waterlogging,Safety,Flooding,drivers cannot see clearly,water has accumulated on the road,T Nagar,6.03,6.1,LOW,MEDIUM,14,0.176,NO_DEPENDENCY,0.277,0
POS_1290,Poor Road Visibility,Safety Risk,Safety,Safety,visibility on road is poor,area has become unsafe,Adyar,3.73,23.7,CRITICAL,CRITICAL,19,0.772,CONTRIBUTES_TO,0.722,1
NEG_0922,Emergency Response Delay,Pothole / Road Damage,Emergency,Road,emergency access is difficult,multiple potholes reported,Anna Nagar,2.86,46.8,HIGH,CRITICAL,13,0.22,NO_DEPENDENCY,0.299,0
NEG_1028,Illegal Dumping,Poor Road Visibility,Waste,Safety,unauthorized dumping reported,low visibility reported,Thiruvanmiyur,2.99,45.4,MEDIUM,CRITICAL,13,0.204,NO_DEPENDENCY,0.294,0
POS_1344,Road Blockage,Traffic Congestion,Road,Traffic,road is partially blocked,severe congestion reported,Kodambakkam,0.24,20.0,CRITICAL,MEDIUM,8,0.916,CAUSES,0.863,1
NEG_0026,Traffic Congestion,Waterlogging,Traffic,Flooding,traffic is moving slowly,heavy waterlogging reported,T Nagar,7.8,74.2,MEDIUM,MEDIUM,3,0.157,NO_DEPENDENCY,0.133,0
NEG_1395,Illegal Dumping,Water Leakage,Waste,Water,garbage dumped beside road,water pipe is leaking,Pallavaram,3.07,4.6,CRITICAL,CRITICAL,8,0.232,NO_DEPENDENCY,0.31,0
NEG_1187,Emergency Response Delay,Air Pollution,Emergency,Environment,emergency vehicles cannot move quickly,air quality is affected,Mylapore,6.11,89.7,MEDIUM,CRITICAL,11,0.029,NO_DEPENDENCY,0.147,0
NEG_0695,Safety Risk,Blocked Drain,Safety,Drainage,residents feel unsafe,drain is clogged,Anna Nagar,6.22,93.2,CRITICAL,LOW,15,0.447,NO_DEPENDENCY,0.288,0
NEG_0921,Stagnant Water,Road Blockage,Public Health,Road,standing water is not clearing,road is partially blocked,Adyar,1.66,88.2,CRITICAL,HIGH,0,0.279,NO_DEPENDENCY,0.235,0
NEG_0178,Public Health Risk,Sewer Overflow,Health,Drainage,disease risk is increasing,dirty wastewater is spreading,Thiruvanmiyur,5.74,28.8,LOW,HIGH,3,0.127,NO_DEPENDENCY,0.193,0
POS_1287,Waterlogging,Road Blockage,Flooding,Road,road is flooded,traffic lane is obstructed,T Nagar,4.49,29.2,MEDIUM,CRITICAL,12,0.767,CAUSES,0.683,1
POS_0436,Street Light Failure,Poor Road Visibility,Lighting,Safety,streetlights are off,drivers cannot see clearly,Perambur,3.18,44.2,HIGH,HIGH,18,0.741,CAUSES,0.713,1
NEG_0228,Illegal Dumping,Poor Road Visibility,Waste,Safety,unauthorized dumping reported,dark road section,Mylapore,1.48,78.3,MEDIUM,LOW,3,0.053,NO_DEPENDENCY,0.193,0
